Family,Species,Hunting Method/Web Usage,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Actinopodidae,Missulena bradleyi,Burrow,KS3453,19.492,7.022,8.238,12.47,10.325,4.733,1.576,2.67,2.012,2.982,4.775,NA,2.508,1.913,1.581,5.75,2.787,1.435,1.343,1.272,6.347,NA,NA,3.197,2.216
Actinopodidae,Missulena insignis,Burrow,KS3073,24.922,9.788,9.49,15.134,13.301,3.509,3.081,2.645,2.806,2.267,5.247,2.207,3.497,2.125,2.525,5.141,3.038,2.63,3.218,2.63,5.265,3.297,3.591,2.373,1.317
Amaurobiidae,Daviesa lubinae,Ground hunter,S20349,7.4,3.6,2.6,3.8,2.5,3.5,1.2,3.9,3.1,0.9,2.7,1.2,3,2.6,0.8,2,1,1.6,2,0.7,2.6,1,2.3,2.9,0.6
Amaurobiidae,Storenosoma alta,Ground hunter,KS42525,9.103,3.991,2.587,5.112,3.107,2.681,1.416,2.498,2.376,0.653,2.534,1.083,2.214,2.295,0.984,3.063,1.222,1.397,1.301,1.032,0.868,2.909,3.59,1.19,0.882
Amaurobiidae,Storenosoma bifidum,Ground hunter,K4113,12.35001853,5.035007553,3.325004988,7.315010973,5.225007838,3.515005273,1.52000228,3.325004988,2.755004133,1.330001995,3.8000057,1.90000285,2.755004133,1.805002708,0.950001425,3.515005273,1.805002708,2.185003278,2.375003563,0.950001425,4.275006413,1.615002423,3.705005558,4.18000627,1.805002708
Amaurobiidae,Storenosoma hoggi,Ground hunter,KS116087,5.905,3.282,2.436,2.623,2.153,1.932,0.826,1.7,1.019,0.848,1.835,1.028,1.74,1.358,0.779,2.249,1.027,1.303,1.54,0.68,2.572,0.902,1.09,1.446,0.591
Amaurobiidae,Storenosoma terraneum,Ground hunter,KS41367,9.4,3.8,2.7,5.6,3.55,NA,NA,NA,NA,NA,2.8,1.1,2.1,1.9,0.85,2.35,0.9,1.85,2.15,0.95,3.1,1.4,2.65,2.8,1.3
Amaurobiidae,Storensoma victoria,Ground hunter,K4224,8.9,4,2.25,4.9,3.65,2.25,0.8,2.15,2,0.65,1.95,0.55,1.75,1.25,0.55,2.3,0.65,1.55,1.6,0.75,2.3,0.85,1.6,2.25,1
Anapidae,Chasmocephalon acheron,Orb-web,K5974,0.770077008,0.330033003,0.220022002,0.440044004,0.308030803,0.418041804,NA,NA,0.264026403,0.066006601,0.264026403,NA,NA,0.154015402,0.0440044,0.176017602,0.088008801,0.110011001,0.198019802,0.110011001,0.330033003,0.110011001,0.264026403,0.176017602,0.066006601
Anapidae,Chasmocephalon iluka,Orb-web,KS124343,0.986,0.381,0.342,0.605,0.651,0.341,0.128,0.179,0.152,0.161,NA,NA,NA,NA,NA,0.188,0.066,0.256,0.104,0.093,0.21,NA,NA,NA,NA
Anapidae,Maxanapis bartle,Orb-web,S11412,1.666666667,0.666666667,0.6,1,0.966666667,0.8,0.266666667,0.666666667,0.333333333,0.2,0.566666667,0.3,0.433333333,0.366666667,0.333333333,0.5,0.2,0.333333333,0.166666667,NA,0.466666667,0.166666667,0.433333333,0.366666667,0.233333333
Anapidae,Maxanapis crassifemoralis,Orb-web,KS9420,1.628162816,0.792079208,0.660066007,0.836083608,1.01210121,0.858085809,0.330033003,0.594059406,0.550055006,0.220022002,0.550055006,0.220022002,0.440044004,0.462046205,0.132013201,0.220022002,0.088008801,NA,0.242024202,0.110011001,0.528052805,0.110011001,0.352035204,0.220022002,0.154015402
Anapidae,Maxanapis dorrigo,Orb-web,KS17096,1.375,0.669,0.436,0.706,0.912,0.732,0.173,0.59,0.338,0.213,0.868,0.282,0.458,0.344,0.223,0.347,NA,0.383,0.235,NA,0.515,NA,NA,NA,NA
Anapidae,Micropholcomma caelingus,Irregular web,K6101,0.880088009,0.242024202,0.242024202,0.638063806,0.550055006,0.220022002,0.088008801,0.154015402,0.110011001,0.066006601,0.176017602,0.088008801,0.132013201,0.066006601,0.066006601,0.110011001,0.066006601,0.154015402,0.110011001,0.110011001,0.220022002,0.110011001,0.198019802,0.132013201,0.099009901
Anapidae,Micropholcomma longissima,Irregular web,K6180,0.792079208,0.352035204,0.374037404,0.440044004,0.792079208,0.110011001,0.066006601,0.176017602,0.132013201,0.088008801,0.198019802,NA,NA,0.066006601,0.154015402,0.198019802,0.088008801,0.154015402,0.110011001,0.0440044,0.198019802,NA,NA,0.088008801,0.132013201
Anapidae,Risidonius parvus,Orb-web,K6073,1.144114411,0.484048405,0.550055006,0.660066007,0.682068207,0.484048405,0.154015402,0.352035204,0.198019802,0.330033003,0.462046205,0.110011001,0.308030803,0.286028603,0.110011001,0.352035204,0.066006601,0.220022002,0.264026403,0.110011001,0.440044004,0.110011001,0.330033003,0.330033003,0.132013201
Anapidae,Victanapis warburton,Orb-web,K6035,1.254125413,0.594059406,0.242024202,0.660066007,0.440044004,0.286028603,0.110011001,0.220022002,0.110011001,0.220022002,0.220022002,0.088008801,0.154015402,0.110011001,0.132013201,0.176017602,0.110011001,0.132013201,0.110011001,0.110011001,0.220022002,0.088008801,0.154015402,0.198019802,0.088008801
